Напряжение[B], Время[c]
0.3123,2.5391
0.3129,2.5342
0.3134,2.5293
0.3139,2.5439
0.3144,2.5391
0.3150,2.5439
0.3155,2.5439
0.3160,2.5391
0.3165,2.5439
0.3171,2.5391
0.3176,2.5391
0.3181,2.5293
0.3186,2.5439
0.3192,2.5391
0.3197,2.5439
0.3202,2.5439
0.3207,2.5439
0.3213,2.5391
0.3218,2.5439
0.3223,2.5439
0.3228,2.5342
0.3234,2.5342
0.3239,2.5391
0.3244,2.5439
0.3249,2.5391
0.3254,2.5439
0.3260,2.5439
0.3265,2.5391
0.3270,2.5391
0.3275,2.5439
0.3281,2.5439
0.3286,2.5439
0.3291,2.5391
0.3296,2.5488
0.3302,2.5391
0.3307,2.5391
0.3312,2.5439
0.3317,2.5439
0.3323,2.5342
0.3328,2.5439
0.3333,2.5439
0.3338,2.5391
0.3344,2.5391
0.3349,2.5391
0.3354,2.5439
0.3359,2.5391
0.3365,2.5391
0.3370,2.5439
0.3375,2.5439
0.3380,2.5439
0.3386,2.5391
0.3391,2.5342
0.3396,2.5391
0.3401,2.5439
0.3407,2.5342
0.3412,2.5391
0.3417,2.5391
0.3422,2.5391
0.3428,2.5439
0.3433,2.5439
0.3438,2.5439
0.3443,2.5391
0.3448,2.5439
0.3454,2.5391
0.3459,2.5439
0.3464,2.5439
0.3469,2.5439
0.3475,2.5439
0.3480,2.5391
0.3485,2.5439
0.3490,2.5391
0.3496,2.5439
0.3501,2.5439
0.3506,2.5439
0.3511,2.5391
0.3517,2.5439
0.3522,2.5439
0.3527,2.5439
0.3532,2.5439
0.3538,2.5342
0.3543,2.5391
0.3548,2.5439
0.3553,2.5439
0.3559,2.5439
0.3564,2.5439
0.3569,2.5391
0.3574,2.5391
0.3580,2.5488
0.3585,2.5439
0.3590,2.5439
0.3595,2.5439
0.3601,2.5391
0.3606,2.5439
0.3611,2.5439
0.3616,2.5391
0.3622,2.5342
0.3627,2.5391
0.3632,2.5488
0.3637,2.5439
0.3643,2.5439
0.3648,2.5439
0.3653,2.5439
0.3658,2.5342
0.3664,2.5439
0.3669,2.5439
0.3674,2.5391
0.3679,2.5342
0.3685,2.5488
0.3690,2.5439
0.3695,2.5439
0.3700,2.5439
0.3706,2.5391
0.3711,2.5342
0.3716,2.5439
0.3721,2.5439
0.3727,2.5391
0.3732,2.5439
0.3737,2.5439
0.3742,2.5342
0.3748,2.5391
0.3753,2.5391
0.3758,2.5439
0.3763,2.5439
0.3769,2.5391
0.3774,2.5391
0.3779,2.5439
0.3784,2.5391
0.3789,2.5391
0.3795,2.5391
0.3800,2.5391
0.3805,2.5488
0.3811,2.5439
0.3828,2.5391
0.3833,2.5342
0.3838,2.5439
0.3843,2.5439
0.3849,2.5439
0.3854,2.5488
0.3859,2.5439
0.3864,2.5439
0.3870,2.5342
0.3875,2.5391
0.3880,2.5439
0.3885,2.5439
0.3891,2.5439
0.3896,2.5439
0.3901,2.5439
0.3906,2.5439
0.3912,2.5439
0.3917,2.5391
0.3922,2.5439
0.3928,2.5439
0.3933,2.5342
0.3938,2.5391
0.3943,2.5439
0.3949,2.5342
0.3954,2.5342
0.3959,2.5391
0.3964,2.5439
0.3970,2.5439
0.3975,2.5391
0.3980,2.5439
0.3985,2.5391
0.3991,2.5439
0.3996,2.5439
0.4002,2.5439
0.4008,2.5439
0.4014,2.5439
0.4019,2.5342
0.4025,2.5391
0.4030,2.5439
0.4036,2.5439
0.4041,2.5439
0.4047,2.5342
0.4052,2.5439
0.4057,2.5293
0.4062,2.5391
0.4068,2.5439
0.4073,2.5391
0.4078,2.5342
0.4083,2.5391
0.4089,2.5391
0.4094,2.5439
0.4099,2.5439
0.4104,2.5391
0.4110,2.5439
0.4115,2.5439
0.4120,2.5439
0.4125,2.5391
0.4131,2.5439
0.4136,2.5439
0.4141,2.5488
0.4146,2.5439
0.4152,2.5391
0.4157,2.5391
0.4162,2.5439
0.4167,2.5391
0.4173,2.5439
0.4178,2.5391
0.4183,2.5439
0.4188,2.5439
0.4193,2.5391
0.4199,2.5391
0.4204,2.5439
0.4209,2.5391
0.4215,2.5439
0.4220,2.5439
0.4226,2.5439
0.4231,2.5391
0.4236,2.5439
0.4241,2.5342
0.4247,2.5391
0.4252,2.5391
0.4257,2.5439
0.4262,2.5439
0.4268,2.5439
0.4273,2.5391
0.4278,2.5439
0.4284,2.5439
0.4289,2.5439
0.4294,2.5439
0.4299,2.5439
0.4304,2.5439
0.4310,2.5439
0.4315,2.5391
0.4320,2.5439
0.4325,2.5391
0.4331,2.5391
0.4336,2.5439
0.4341,2.5439
0.4346,2.5439
0.4352,2.5439
0.4357,2.5391
0.4362,2.5342
0.4367,2.5391
0.4373,2.5391
0.4378,2.5439
0.4383,2.5342
0.4388,2.5342
0.4393,2.5391
0.4399,2.5391
0.4404,2.5342
0.4409,2.5439
0.4414,2.5439
0.4420,2.5391
0.4425,2.5439
0.4430,2.5439
0.4435,2.5391
0.4441,2.5439
0.4446,2.5391
0.4451,2.5391
0.4457,2.5488
0.4462,2.5391
0.4467,2.5439
0.4472,2.5439
0.4478,2.5439
0.4483,2.5342
0.4488,2.5439
0.4493,2.5391
0.4499,2.5439
0.4504,2.5342
0.4509,2.5391
0.4515,2.5439
0.4520,2.5391
0.4525,2.5293
0.4530,2.5293
0.4536,2.5439
0.4541,2.5439
0.4546,2.5439
0.4552,2.5439
0.4557,2.5439
0.4562,2.5391
0.4568,2.5391
0.4573,2.5342
0.4579,2.5439
0.4584,2.5439
0.4589,2.5391
0.4595,2.5439
0.4600,2.5439
0.4605,2.5439
0.4611,2.5439
0.4616,2.5391
0.4621,2.5439
0.4627,2.5439
0.4632,2.5439
0.4637,2.5439
0.4642,2.5439
0.4648,2.5439
0.4653,2.5342
0.4658,2.5391
0.4663,2.5439
0.4669,2.5342
0.4674,2.5391
0.4679,2.5439
0.4685,2.5439
0.4690,2.5439
0.4695,2.5391
0.4700,2.5439
0.4706,2.5391
0.4711,2.5439
0.4716,2.5439
0.4722,2.5342
0.4727,2.5439
0.4732,2.5439
0.4738,2.5293
0.4743,2.5439
0.4749,2.5391
0.4754,2.5293
0.4760,2.5391
0.4765,2.5391
0.4770,2.5391
0.4775,2.5342
0.4781,2.5439
0.4786,2.5439
0.4792,2.5293
0.4797,2.5342
0.4802,2.5391
0.4808,2.5439
0.4813,2.5439
0.4818,2.5439
0.4824,2.5439
0.4829,2.5391
0.4834,2.5439
0.4839,2.5439
0.4845,2.5391
0.4850,2.5439
0.4855,2.5391
0.4860,2.5439
0.4866,2.5439
0.4871,2.5439
0.4876,2.5439
0.4882,2.5342
0.4887,2.5391
0.4892,2.5439
0.4897,2.5439
0.4903,2.5439
0.4908,2.5439
0.4913,2.5439
0.4919,2.5342
0.4924,2.5439
0.4930,2.5439
0.4935,2.5439
0.4940,2.5439
0.4945,2.5342
0.4951,2.5439
0.4956,2.5439
0.4962,2.5391
0.4967,2.5293
0.4972,2.5391
0.4977,2.5342
0.4983,2.5439
0.4988,2.5342
0.4993,2.5342
0.4999,2.5391
0.5004,2.5439
0.5009,2.5391
0.5015,2.5391
0.5020,2.5342
0.5026,2.5391
0.5031,2.5439
0.5036,2.5391
0.5041,2.5342
0.5047,2.5342
0.5052,2.5439
0.5057,2.5391
0.5063,2.5391
0.5068,2.5439
0.5073,2.5439
0.5079,2.5391
0.5084,2.5391
0.5089,2.5439
0.5095,2.5342
0.5100,2.5342
0.5105,2.5439
0.5110,2.5439
0.5116,2.5391
0.5121,2.5439
0.5126,2.5391
0.5132,2.5391
0.5137,2.5391
0.5142,2.5391
0.5147,2.5439
0.5152,2.5439
0.5158,2.5439
0.5163,2.5342
0.5168,2.5439
0.5174,2.5439
0.5179,2.5439
0.5184,2.5391
0.5189,2.5342
0.5194,2.5342
0.5200,2.5439
0.5205,2.5439
0.5210,2.5439
0.5216,2.5439
0.5221,2.5439
0.5227,2.5439
0.5232,2.5391
0.5237,2.5342
0.5243,2.5439
0.5248,2.5439
0.5253,2.5439
0.5259,2.5439
0.5264,2.5439
0.5269,2.5439
0.5275,2.5439
0.5280,2.5391
0.5285,2.5391
0.5291,2.5439
0.5296,2.5439
0.5301,2.5439
