Напряжение[B], Время[c]
0.4166,2.0654
0.4171,2.0654
0.4177,2.0605
0.4182,2.0654
0.4187,2.0557
0.4192,2.0605
0.4197,2.0605
0.4203,2.0605
0.4208,2.0605
0.4213,2.0654
0.4218,2.0605
0.4224,2.0654
0.4229,2.0605
0.4234,2.0557
0.4239,2.0557
0.4245,2.0605
0.4250,2.0654
0.4255,2.0654
0.4260,2.0605
0.4265,2.0654
0.4271,2.0654
0.4276,2.0605
0.4281,2.0557
0.4286,2.0605
0.4292,2.0557
0.4297,2.0557
0.4302,2.0654
0.4307,2.0654
0.4313,2.0654
0.4318,2.0654
0.4323,2.0654
0.4328,2.0654
0.4334,2.0605
0.4339,2.0654
0.4344,2.0654
0.4349,2.0654
0.4354,2.0557
0.4360,2.0605
0.4365,2.0654
0.4370,2.0605
0.4375,2.0654
0.4381,2.0654
0.4386,2.0605
0.4391,2.0654
0.4396,2.0654
0.4402,2.0654
0.4407,2.0654
0.4412,2.0557
0.4417,2.0654
0.4423,2.0654
0.4428,2.0654
0.4433,2.0605
0.4438,2.0605
0.4444,2.0605
0.4449,2.0654
0.4454,2.0654
0.4459,2.0605
0.4464,2.0605
0.4470,2.0605
0.4475,2.0605
0.4480,2.0605
0.4485,2.0654
0.4491,2.0654
0.4496,2.0654
0.4501,2.0654
0.4506,2.0605
0.4512,2.0654
0.4517,2.0654
0.4522,2.0508
0.4527,2.0605
0.4532,2.0605
0.4538,2.0605
0.4543,2.0654
0.4548,2.0654
0.4553,2.0557
0.4559,2.0654
0.4564,2.0654
0.4569,2.0654
0.4574,2.0605
0.4580,2.0605
0.4585,2.0654
0.4590,2.0654
0.4595,2.0605
0.4600,2.0605
0.4606,2.0605
0.4611,2.0654
0.4616,2.0654
0.4621,2.0605
0.4627,2.0654
0.4632,2.0605
0.4637,2.0557
0.4642,2.0654
0.4648,2.0654
0.4653,2.0654
0.4658,2.0605
0.4663,2.0605
0.4668,2.0605
0.4674,2.0654
0.4679,2.0654
0.4684,2.0654
0.4689,2.0654
0.4695,2.0605
0.4700,2.0654
0.4705,2.0605
0.4710,2.0654
0.4716,2.0605
0.4721,2.0654
0.4726,2.0654
0.4731,2.0654
0.4736,2.0654
0.4742,2.0557
0.4747,2.0557
0.4752,2.0605
0.4757,2.0654
0.4763,2.0654
0.4768,2.0654
0.4773,2.0605
0.4778,2.0703
0.4784,2.0605
0.4789,2.0605
0.4794,2.0557
0.4799,2.0654
0.4804,2.0654
0.4810,2.0654
0.4815,2.0557
0.4820,2.0654
0.4825,2.0654
0.4831,2.0605
0.4836,2.0605
0.4841,2.0654
0.4846,2.0654
0.4852,2.0605
0.4857,2.0605
0.4862,2.0557
0.4867,2.0654
0.4873,2.0654
0.4878,2.0605
0.4883,2.0605
0.4888,2.0654
0.4894,2.0654
0.4899,2.0654
0.4904,2.0654
0.4909,2.0557
0.4914,2.0557
0.4920,2.0654
0.4925,2.0654
0.4930,2.0654
0.4935,2.0654
0.4941,2.0605
0.4946,2.0654
0.4951,2.0605
0.4956,2.0654
0.4962,2.0654
0.4967,2.0557
0.4972,2.0605
0.4977,2.0654
0.4982,2.0605
0.4988,2.0605
0.4993,2.0605
0.4998,2.0654
0.5003,2.0605
0.5009,2.0605
0.5014,2.0605
0.5019,2.0654
0.5024,2.0557
0.5030,2.0605
0.5035,2.0605
0.5040,2.0654
0.5045,2.0605
0.5050,2.0654
0.5056,2.0654
0.5061,2.0654
0.5066,2.0605
0.5072,2.0654
0.5077,2.0654
0.5082,2.0557
0.5087,2.0605
0.5092,2.0654
