Время[c], Напряжение[B]
0.4783,2.5635
0.4788,2.5488
0.4794,2.5586
0.4799,2.5586
0.4804,2.5586
0.4810,2.5635
0.4815,2.5586
0.4820,2.5586
0.4826,2.5586
0.4831,2.5586
0.4836,2.5586
0.4842,2.5635
0.4847,2.5586
0.4852,2.5586
0.4857,2.5635
0.4863,2.5635
0.4868,2.5488
0.4873,2.5586
0.4879,2.5635
0.4884,2.5635
0.4890,2.5635
0.4896,2.5635
0.4901,2.5537
0.4907,2.5586
0.4912,2.5586
0.4917,2.5586
0.4923,2.5488
0.4928,2.5586
0.4934,2.5635
0.4939,2.5586
0.4945,2.5537
0.4950,2.5586
0.4955,2.5635
0.4961,2.5537
0.4966,2.5586
0.4971,2.5586
0.4976,2.5537
0.4982,2.5635
0.4987,2.5488
0.4992,2.5586
0.4998,2.5537
0.5003,2.5635
0.5008,2.5586
0.5013,2.5586
0.5019,2.5586
0.5024,2.5586
0.5029,2.5586
0.5035,2.5586
0.5040,2.5537
0.5045,2.5537
0.5051,2.5635
0.5056,2.5586
0.5062,2.5586
0.5067,2.5537
0.5073,2.5537
0.5078,2.5586
0.5083,2.5586
0.5089,2.5635
0.5094,2.5586
0.5099,2.5586
0.5105,2.5586
0.5110,2.5586
0.5116,2.5586
0.5121,2.5586
0.5126,2.5586
0.5131,2.5586
0.5137,2.5635
0.5142,2.5635
0.5147,2.5586
0.5152,2.5537
0.5158,2.5488
0.5163,2.5586
0.5168,2.5488
0.5173,2.5488
0.5179,2.5586
0.5184,2.5635
0.5189,2.5488
0.5195,2.5537
0.5200,2.5586
0.5205,2.5586
0.5210,2.5586
0.5216,2.5586
0.5221,2.5635
0.5226,2.5586
0.5232,2.5586
0.5237,2.5488
0.5242,2.5537
0.5247,2.5537
0.5253,2.5537
0.5258,2.5586
0.5263,2.5635
0.5269,2.5586
0.5274,2.5537
0.5279,2.5586
0.5284,2.5586
0.5290,2.5488
0.5295,2.5537
0.5300,2.5586
0.5306,2.5586
0.5311,2.5537
0.5316,2.5488
0.5322,2.5488
0.5327,2.5488
0.5332,2.5635
0.5338,2.5586
0.5343,2.5635
0.5348,2.5586
0.5353,2.5635
0.5359,2.5586
0.5364,2.5586
0.5370,2.5635
0.5375,2.5586
0.5380,2.5635
0.5385,2.5635
0.5391,2.5586
0.5396,2.5635
0.5402,2.5586
0.5408,2.5586
0.5414,2.5586
0.5419,2.5488
0.5424,2.5586
0.5430,2.5537
0.5435,2.5488
0.5440,2.5586
0.5445,2.5537
0.5451,2.5586
0.5456,2.5635
0.5461,2.5537
0.5466,2.5488
0.5472,2.5537
0.5478,2.5586
0.5483,2.5586
0.5488,2.5537
0.5493,2.5586
0.5499,2.5488
0.5504,2.5537
0.5509,2.5586
0.5515,2.5635
0.5520,2.5586
0.5525,2.5586
0.5531,2.5586
0.5536,2.5586
0.5541,2.5586
0.5547,2.5586
0.5553,2.5635
0.5558,2.5586
0.5563,2.5635
0.5569,2.5586
0.5574,2.5635
0.5579,2.5586
0.5585,2.5488
0.5590,2.5586
0.5603,2.5635
0.5608,2.5586
0.5613,2.5537
0.5619,2.5635
0.5625,2.5635
0.5630,2.5586
0.5635,2.5537
0.5641,2.5635
0.5646,2.5537
0.5651,2.5537
0.5663,2.5488
0.5669,2.5488
0.5674,2.5586
0.5679,2.5586
0.5685,2.5635
0.5690,2.5635
0.5703,2.5586
0.5709,2.5488
0.5714,2.5488
0.5719,2.5537
0.5734,2.5635
0.5739,2.5586
0.5745,2.5586
0.5750,2.5635
0.5755,2.5586
0.5761,2.5586
0.5766,2.5586
0.5771,2.5586
0.5776,2.5586
0.5782,2.5586
0.5787,2.5537
0.5792,2.5635
0.5797,2.5488
0.5802,2.5586
0.5808,2.5586
0.5813,2.5586
0.5818,2.5586
0.5823,2.5586
0.5829,2.5635
0.5834,2.5586
0.5839,2.5586
0.5844,2.5635
0.5850,2.5586
0.5855,2.5586
0.5860,2.5586
0.5865,2.5586
0.5870,2.5586
0.5876,2.5537
0.5881,2.5635
0.5886,2.5586
0.5891,2.5586
0.5897,2.5586
0.5902,2.5586
0.5907,2.5586
0.5912,2.5635
0.5917,2.5586
0.5923,2.5586
0.5928,2.5537
0.5934,2.5586
0.5939,2.5586
0.5944,2.5537
0.5949,2.5635
0.5955,2.5586
0.5960,2.5488
0.5965,2.5537
0.5970,2.5537
0.5975,2.5635
