Напряжение[B], Время[c]
0.5606,1.5967
0.5611,1.5967
0.5616,1.5967
0.5621,1.5967
0.5627,1.5918
0.5632,1.5967
0.5637,1.5967
0.5643,1.5967
0.5649,1.5967
0.5654,1.5967
0.5660,1.5967
0.5665,1.5967
0.5670,1.5967
0.5676,1.5967
0.5682,1.5918
0.5687,1.5918
0.5692,1.5967
0.5697,1.5967
0.5703,1.5967
0.5708,1.5967
0.5713,1.5967
0.5719,1.5967
0.5724,1.5967
0.5729,1.5967
0.5735,1.5918
0.5740,1.5967
0.5746,1.5967
0.5751,1.5967
0.5757,1.5967
0.5762,1.5967
0.5768,1.5967
0.5773,1.5967
0.5779,1.5967
0.5784,1.5967
0.5789,1.5918
0.5794,1.5967
0.5800,1.5967
0.5805,1.5967
0.5810,1.5967
0.5815,1.5967
0.5821,1.5918
0.5826,1.5918
0.5831,1.6016
0.5836,1.5967
0.5841,1.5967
0.5847,1.5967
0.5852,1.5918
0.5857,1.5967
0.5862,1.5967
0.5868,1.5967
0.5873,1.5967
0.5878,1.5967
0.5883,1.5918
0.5889,1.5967
0.5894,1.5967
0.5899,1.5967
0.5904,1.5967
0.5910,1.5967
0.5915,1.6016
0.5920,1.5918
0.5925,1.5967
0.5931,1.5967
0.5936,1.5967
0.5941,1.5967
0.5946,1.5967
0.5952,1.5918
0.5957,1.5967
0.5962,1.5967
0.5968,1.5967
0.5973,1.5918
0.5978,1.5967
0.5983,1.5967
0.5989,1.6016
0.5994,1.5967
0.5999,1.6016
0.6004,1.5967
0.6009,1.5918
0.6015,1.5918
0.6020,1.5918
0.6025,1.5967
0.6030,1.5967
0.6036,1.5967
0.6041,1.5967
0.6046,1.5967
0.6051,1.5918
0.6057,1.5967
0.6062,1.5967
0.6067,1.5967
0.6072,1.5918
0.6077,1.5967
0.6083,1.5967
0.6088,1.5967
0.6093,1.5967
0.6098,1.5967
0.6104,1.5918
0.6109,1.5967
0.6114,1.5967
0.6119,1.5869
0.6125,1.5967
0.6130,1.5918
0.6135,1.5967
0.6140,1.5967
0.6145,1.5967
0.6151,1.5967
0.6156,1.5967
0.6161,1.5967
0.6166,1.5967
0.6172,1.5967
0.6177,1.5918
0.6182,1.5918
0.6187,1.5967
0.6193,1.5967
0.6198,1.5967
0.6203,1.5967
0.6208,1.5967
0.6213,1.5918
0.6219,1.5967
0.6224,1.5967
0.6229,1.5967
0.6234,1.5967
0.6240,1.5967
0.6245,1.5918
0.6250,1.5918
0.6255,1.5967
0.6261,1.5967
0.6266,1.5967
0.6271,1.6016
0.6276,1.5918
0.6282,1.5967
0.6287,1.5967
0.6292,1.5967
0.6297,1.5918
0.6302,1.5967
0.6308,1.5918
0.6313,1.5967
0.6318,1.5967
0.6323,1.6016
0.6329,1.5918
0.6334,1.5967
0.6339,1.5918
0.6344,1.5869
0.6349,1.5918
0.6355,1.5918
0.6360,1.5967
0.6365,1.6016
0.6370,1.6016
0.6376,1.5967
0.6381,1.5918
0.6386,1.5967
0.6391,1.5967
0.6397,1.5918
0.6402,1.5967
0.6407,1.5967
0.6412,1.6016
0.6417,1.5967
0.6423,1.5967
0.6428,1.5967
0.6433,1.5967
0.6438,1.5967
0.6444,1.5967
0.6449,1.5967
0.6454,1.5918
0.6459,1.5918
0.6465,1.5967
0.6470,1.5967
0.6475,1.5967
0.6480,1.5967
0.6485,1.5918
0.6491,1.5967
0.6496,1.5967
0.6501,1.6016
0.6506,1.5967
0.6512,1.5967
0.6517,1.5918
0.6522,1.5967
0.6527,1.5967
0.6533,1.5967
0.6538,1.5967
0.6543,1.5967
0.6548,1.5967
0.6553,1.5967
0.6559,1.5967
0.6564,1.5918
0.6569,1.5918
0.6574,1.5967
0.6580,1.5967
0.6585,1.6016
0.6590,1.5967
0.6595,1.5967
0.6600,1.5918
0.6606,1.5967
0.6611,1.5967
0.6616,1.5967
0.6621,1.5967
0.6627,1.5869
0.6632,1.5967
0.6637,1.5967
