Время[c], Напряжение[B]
0.3642,2.5586
0.3647,2.5635
0.3653,2.5684
0.3658,2.5684
0.3665,2.5684
0.3670,2.5684
0.3676,2.5684
0.3682,2.5684
0.3687,2.5635
0.3692,2.5684
0.3698,2.5635
0.3703,2.5684
0.3708,2.5684
0.3713,2.5635
0.3719,2.5635
0.3724,2.5684
0.3729,2.5635
0.3734,2.5586
0.3740,2.5586
0.3745,2.5684
0.3750,2.5586
0.3755,2.5635
0.3761,2.5635
0.3766,2.5586
0.3771,2.5635
0.3776,2.5635
0.3782,2.5586
0.3787,2.5586
0.3793,2.5635
0.3798,2.5684
0.3803,2.5684
0.3809,2.5586
0.3815,2.5586
0.3820,2.5635
0.3826,2.5684
0.3831,2.5586
0.3837,2.5586
0.3843,2.5684
0.3849,2.5635
0.3855,2.5684
0.3860,2.5586
0.3866,2.5635
0.3872,2.5537
0.3878,2.5586
0.3883,2.5537
0.3889,2.5586
0.3894,2.5684
0.3900,2.5586
0.3906,2.5684
0.3911,2.5586
0.3917,2.5684
0.3923,2.5684
0.3928,2.5635
0.3933,2.5684
0.3939,2.5684
0.3944,2.5684
0.3950,2.5635
0.3955,2.5635
0.3961,2.5684
0.3966,2.5684
0.3972,2.5586
0.3978,2.5684
0.3983,2.5684
0.3989,2.5684
0.3994,2.5635
0.3999,2.5635
0.4005,2.5537
0.4010,2.5586
0.4015,2.5586
0.4021,2.5586
0.4026,2.5635
0.4031,2.5684
0.4037,2.5586
0.4042,2.5635
0.4047,2.5586
0.4053,2.5586
0.4058,2.5537
0.4063,2.5537
0.4069,2.5586
0.4074,2.5586
0.4079,2.5635
0.4085,2.5635
0.4090,2.5684
0.4095,2.5684
0.4101,2.5635
0.4106,2.5635
0.4112,2.5635
0.4118,2.5586
0.4124,2.5635
0.4129,2.5586
0.4135,2.5635
0.4141,2.5586
0.4146,2.5635
0.4152,2.5684
0.4158,2.5635
0.4164,2.5586
0.4169,2.5586
0.4175,2.5684
0.4181,2.5635
0.4187,2.5537
0.4193,2.5635
0.4198,2.5635
0.4205,2.5635
0.4210,2.5635
0.4216,2.5635
0.4222,2.5635
0.4227,2.5635
0.4233,2.5635
0.4239,2.5635
0.4245,2.5635
0.4250,2.5684
0.4257,2.5635
0.4262,2.5586
0.4268,2.5635
0.4274,2.5586
0.4280,2.5586
0.4285,2.5684
0.4291,2.5635
0.4296,2.5635
0.4302,2.5586
0.4308,2.5684
0.4313,2.5684
0.4319,2.5635
0.4324,2.5635
0.4329,2.5635
0.4335,2.5635
0.4340,2.5635
0.4346,2.5586
0.4351,2.5586
0.4357,2.5635
0.4362,2.5586
0.4368,2.5635
0.4374,2.5586
0.4380,2.5537
0.4386,2.5684
0.4392,2.5586
0.4399,2.5635
0.4405,2.5635
0.4410,2.5586
0.4416,2.5488
0.4421,2.5586
0.4427,2.5635
0.4432,2.5635
0.4438,2.5537
0.4443,2.5635
0.4448,2.5537
0.4453,2.5635
0.4459,2.5635
0.4464,2.5635
0.4470,2.5635
0.4476,2.5635
0.4482,2.5586
0.4488,2.5635
0.4494,2.5586
0.4500,2.5586
0.4506,2.5537
0.4512,2.5537
0.4518,2.5684
0.4524,2.5537
0.4530,2.5586
0.4535,2.5635
0.4541,2.5635
0.4546,2.5635
0.4553,2.5635
0.4558,2.5586
0.4564,2.5635
0.4570,2.5537
0.4576,2.5635
0.4583,2.5635
0.4589,2.5684
0.4596,2.5684
0.4602,2.5635
0.4609,2.5635
0.4615,2.5684
0.4621,2.5684
0.4627,2.5586
0.4633,2.5635
0.4639,2.5635
0.4645,2.5684
0.4650,2.5635
0.4656,2.5635
0.4662,2.5635
0.4668,2.5635
0.4673,2.5635
0.4679,2.5586
0.4684,2.5635
0.4690,2.5635
0.4696,2.5635
0.4701,2.5586
0.4706,2.5635
0.4712,2.5635
0.4717,2.5635
0.4722,2.5635
0.4727,2.5586
0.4733,2.5537
0.4738,2.5537
0.4744,2.5537
0.4749,2.5586
0.4754,2.5635
0.4760,2.5586
0.4765,2.5537
0.4771,2.5635
0.4776,2.5635
0.4781,2.5537
0.4786,2.5537
0.4792,2.5586
0.4797,2.5684
0.4803,2.5537
0.4809,2.5635
0.4815,2.5537
0.4821,2.5537
0.4828,2.5635
0.4834,2.5635
0.4840,2.5635
0.4846,2.5635
0.4851,2.5635
0.4857,2.5635
0.4863,2.5635
0.4868,2.5635
0.4874,2.5586
0.4880,2.5635
0.4885,2.5635
0.4891,2.5586
0.4897,2.5635
0.4903,2.5635
0.4909,2.5586
0.4916,2.5635
0.4922,2.5635
0.4929,2.5586
0.4935,2.5635
0.4941,2.5635
0.4948,2.5586
0.4954,2.5635
0.4962,2.5635
0.4970,2.5684
0.4977,2.5635
0.4984,2.5537
0.4991,2.5635
0.4998,2.5586
0.5004,2.5537
0.5010,2.5537
0.5016,2.5635
0.5022,2.5586
0.5028,2.5635
0.5034,2.5537
0.5040,2.5635
0.5046,2.5635
0.5053,2.5635
0.5059,2.5635
0.5065,2.5586
0.5071,2.5635
0.5077,2.5635
0.5084,2.5586
0.5089,2.5586
0.5094,2.5635
0.5099,2.5635
0.5105,2.5586
0.5110,2.5684
0.5115,2.5537
0.5121,2.5537
0.5126,2.5537
0.5131,2.5635
0.5137,2.5635
0.5143,2.5635
0.5148,2.5635
0.5154,2.5635
0.5160,2.5635
0.5166,2.5635
0.5171,2.5635
0.5177,2.5635
0.5182,2.5537
0.5188,2.5537
0.5194,2.5635
0.5200,2.5586
0.5206,2.5635
0.5212,2.5635
0.5218,2.5586
0.5224,2.5635
0.5231,2.5684
0.5237,2.5537
0.5243,2.5635
0.5249,2.5635
0.5256,2.5635
0.5262,2.5635
0.5268,2.5586
0.5275,2.5586
0.5281,2.5635
0.5287,2.5635
0.5293,2.5635
0.5300,2.5635
0.5307,2.5635
0.5314,2.5586
0.5321,2.5635
0.5328,2.5635
0.5335,2.5635
0.5341,2.5635
0.5347,2.5586
0.5352,2.5537
0.5358,2.5488
0.5364,2.5684
0.5370,2.5537
0.5376,2.5586
0.5382,2.5635
0.5388,2.5635
0.5394,2.5586
0.5400,2.5635
0.5405,2.5537
0.5411,2.5586
0.5416,2.5635
0.5422,2.5635
0.5428,2.5684
0.5434,2.5635
0.5440,2.5586
0.5446,2.5586
0.5452,2.5586
0.5458,2.5635
0.5464,2.5586
0.5470,2.5635
0.5476,2.5586
0.5482,2.5635
0.5488,2.5635
0.5494,2.5586
0.5500,2.5635
0.5506,2.5635
0.5512,2.5635
0.5518,2.5586
0.5524,2.5635
0.5530,2.5635
0.5535,2.5586
0.5541,2.5488
0.5547,2.5635
0.5552,2.5586
0.5558,2.5586
0.5563,2.5488
0.5568,2.5488
0.5574,2.5635
0.5579,2.5488
0.5584,2.5635
0.5590,2.5586
0.5596,2.5635
0.5601,2.5635
0.5607,2.5684
0.5613,2.5635
0.5618,2.5488
0.5624,2.5635
0.5631,2.5635
0.5637,2.5586
0.5644,2.5586
0.5650,2.5635
0.5656,2.5684
0.5663,2.5586
0.5670,2.5537
0.5675,2.5635
0.5681,2.5635
0.5689,2.5635
0.5695,2.5586
0.5702,2.5635
0.5708,2.5635
0.5715,2.5635
0.5721,2.5586
0.5726,2.5488
0.5732,2.5635
0.5737,2.5586
0.5743,2.5586
0.5748,2.5586
0.5754,2.5586
0.5759,2.5635
0.5765,2.5586
0.5771,2.5586
0.5776,2.5635
0.5781,2.5635
0.5786,2.5635
0.5792,2.5635
0.5797,2.5586
0.5802,2.5586
0.5808,2.5586
0.5813,2.5635
0.5821,2.5488
0.5826,2.5635
0.5832,2.5684
0.5838,2.5537
0.5844,2.5635
0.5850,2.5586
0.5855,2.5635
0.5861,2.5635
0.5867,2.5586
0.5873,2.5635
0.5878,2.5586
0.5884,2.5586
0.5889,2.5586
0.5895,2.5488
0.5900,2.5635
0.5906,2.5635
0.5911,2.5488
0.5916,2.5635
0.5922,2.5537
0.5927,2.5635
0.5933,2.5635
0.5939,2.5635
0.5944,2.5635
0.5950,2.5635
0.5955,2.5586
0.5961,2.5635
0.5966,2.5635
0.5971,2.5635
0.5977,2.5586
0.5982,2.5586
0.5987,2.5635
0.5993,2.5635
0.5998,2.5635
0.6003,2.5635
0.6009,2.5537
0.6015,2.5537
0.6021,2.5635
0.6027,2.5635
0.6033,2.5635
0.6038,2.5537
0.6045,2.5586
0.6050,2.5586
0.6056,2.5537
0.6061,2.5586
0.6067,2.5635
0.6072,2.5635
0.6078,2.5635
0.6084,2.5537
0.6089,2.5586
0.6095,2.5586
0.6100,2.5684
0.6106,2.5586
0.6111,2.5537
0.6117,2.5537
0.6122,2.5635
0.6128,2.5488
0.6134,2.5586
0.6140,2.5635
0.6147,2.5635
0.6153,2.5586
0.6160,2.5635
0.6166,2.5586
0.6171,2.5586
0.6176,2.5488
0.6182,2.5537
0.6187,2.5586
0.6193,2.5635
0.6198,2.5586
0.6203,2.5537
0.6209,2.5537
0.6215,2.5635
0.6220,2.5635
0.6226,2.5635
0.6231,2.5586
0.6236,2.5684
0.6242,2.5635
0.6247,2.5586
0.6252,2.5586
0.6258,2.5537
0.6263,2.5537
0.6269,2.5635
0.6274,2.5635
0.6280,2.5586
0.6285,2.5586
0.6290,2.5635
0.6295,2.5586
0.6301,2.5586
0.6306,2.5635
0.6311,2.5586
0.6317,2.5586
0.6322,2.5635
0.6327,2.5635
0.6332,2.5635
0.6337,2.5537
0.6343,2.5586
0.6348,2.5635
0.6353,2.5635
0.6358,2.5586
0.6364,2.5635
0.6369,2.5586
0.6374,2.5586
0.6379,2.5635
0.6384,2.5635
0.6390,2.5586
0.6395,2.5586
0.6400,2.5586
0.6405,2.5635
0.6411,2.5586
0.6416,2.5635
0.6421,2.5635
0.6426,2.5586
0.6432,2.5537
0.6437,2.5488
0.6442,2.5537
0.6447,2.5586
0.6453,2.5586
0.6458,2.5586
0.6463,2.5537
0.6468,2.5635
0.6473,2.5635
0.6479,2.5635
0.6484,2.5586
0.6489,2.5586
0.6494,2.5537
0.6500,2.5586
0.6505,2.5635
0.6510,2.5635
0.6515,2.5537
0.6520,2.5537
0.6526,2.5635
0.6531,2.5586
0.6536,2.5586
0.6541,2.5537
0.6547,2.5537
0.6552,2.5586
0.6557,2.5586
0.6562,2.5586
0.6567,2.5635
0.6573,2.5537
0.6578,2.5586
0.6583,2.5635
0.6588,2.5586
0.6594,2.5537
0.6599,2.5586
0.6604,2.5488
0.6609,2.5586
0.6615,2.5586
0.6620,2.5635
0.6625,2.5635
0.6630,2.5537
0.6635,2.5635
0.6641,2.5586
0.6646,2.5586
0.6651,2.5586
0.6656,2.5635
0.6662,2.5635
0.6667,2.5537
0.6672,2.5586
0.6677,2.5586
0.6682,2.5586
0.6688,2.5635
0.6693,2.5635
0.6698,2.5586
0.6703,2.5586
0.6709,2.5635
0.6714,2.5635
0.6719,2.5635
0.6724,2.5537
0.6730,2.5488
0.6735,2.5586
0.6740,2.5635
0.6745,2.5635
0.6750,2.5537
0.6756,2.5537
0.6761,2.5635
0.6766,2.5635
0.6771,2.5586
0.6777,2.5586
0.6782,2.5537
0.6787,2.5537
0.6792,2.5635
0.6797,2.5635
0.6803,2.5586
0.6808,2.5537
0.6813,2.5586
0.6818,2.5586
0.6824,2.5586
0.6829,2.5586
0.6834,2.5635
0.6839,2.5635
0.6844,2.5586
0.6850,2.5635
0.6855,2.5488
0.6860,2.5537
0.6865,2.5586
0.6871,2.5586
0.6876,2.5586
0.6881,2.5586
0.6886,2.5586
0.6891,2.5635
0.6897,2.5635
0.6902,2.5586
0.6907,2.5586
0.6913,2.5635
0.6918,2.5586
0.6923,2.5586
0.6928,2.5635
0.6933,2.5635
0.6939,2.5586
0.6944,2.5537
0.6949,2.5586
0.6954,2.5586
0.6960,2.5586
0.6965,2.5635
0.6970,2.5635
0.6975,2.5586
0.6980,2.5537
0.6986,2.5635
0.6991,2.5537
0.6997,2.5635
0.7002,2.5635
0.7007,2.5635
0.7012,2.5488
0.7018,2.5586
0.7023,2.5537
0.7028,2.5635
0.7034,2.5586
0.7039,2.5586
0.7044,2.5586
0.7049,2.5635
0.7054,2.5537
0.7060,2.5635
0.7065,2.5586
0.7070,2.5586
0.7076,2.5537
0.7082,2.5635
0.7087,2.5635
0.7093,2.5586
0.7098,2.5635
0.7103,2.5635
0.7108,2.5586
0.7113,2.5586
0.7119,2.5586
0.7124,2.5635
0.7129,2.5586
0.7134,2.5635
0.7140,2.5586
0.7145,2.5635
0.7150,2.5635
0.7155,2.5635
0.7160,2.5586
0.7166,2.5586
0.7171,2.5586
0.7176,2.5586
0.7181,2.5635
0.7187,2.5635
0.7192,2.5635
0.7197,2.5635
0.7202,2.5635
0.7207,2.5586
0.7213,2.5635
0.7218,2.5586
0.7223,2.5537
0.7228,2.5586
0.7234,2.5635
0.7239,2.5586
0.7244,2.5635
0.7249,2.5635
0.7255,2.5586
0.7260,2.5635
0.7265,2.5635
0.7270,2.5635
0.7275,2.5586
0.7281,2.5537
0.7286,2.5586
0.7291,2.5635
0.7296,2.5586
0.7302,2.5635
0.7307,2.5586
0.7312,2.5586
0.7317,2.5635
0.7322,2.5635
0.7328,2.5586
0.7333,2.5488
0.7338,2.5635
0.7343,2.5635
0.7349,2.5586
0.7354,2.5635
0.7359,2.5635
0.7364,2.5586
0.7370,2.5586
0.7375,2.5635
0.7380,2.5635
0.7385,2.5586
0.7390,2.5537
