Время[c], Напряжение[B]
0.3008,2.5732
0.3013,2.5684
0.3018,2.5732
0.3024,2.5732
0.3029,2.5684
0.3034,2.5635
0.3039,2.5732
0.3045,2.5732
0.3050,2.5684
0.3055,2.5684
0.3060,2.5732
0.3066,2.5684
0.3071,2.5732
0.3076,2.5684
0.3081,2.5586
0.3087,2.5635
0.3092,2.5732
0.3097,2.5684
0.3102,2.5635
0.3108,2.5732
0.3113,2.5586
0.3118,2.5635
0.3123,2.5635
0.3129,2.5635
0.3134,2.5684
0.3139,2.5684
0.3144,2.5732
0.3150,2.5684
0.3155,2.5684
0.3160,2.5635
0.3165,2.5635
0.3171,2.5684
0.3176,2.5684
0.3181,2.5635
0.3186,2.5684
0.3192,2.5684
0.3197,2.5732
0.3202,2.5635
0.3207,2.5684
0.3213,2.5732
0.3218,2.5732
0.3223,2.5684
0.3228,2.5732
0.3234,2.5684
0.3239,2.5732
0.3244,2.5732
0.3249,2.5635
0.3255,2.5635
0.3260,2.5732
0.3265,2.5684
0.3270,2.5684
0.3276,2.5684
0.3281,2.5684
0.3286,2.5684
0.3291,2.5684
0.3297,2.5635
0.3302,2.5684
0.3307,2.5684
0.3312,2.5684
0.3318,2.5684
0.3323,2.5586
0.3328,2.5635
0.3333,2.5635
0.3339,2.5684
0.3344,2.5684
0.3349,2.5537
0.3354,2.5684
0.3360,2.5732
0.3365,2.5732
0.3370,2.5635
0.3375,2.5732
0.3381,2.5732
0.3386,2.5684
0.3391,2.5684
0.3397,2.5684
0.3402,2.5635
0.3407,2.5635
0.3412,2.5684
0.3418,2.5732
0.3423,2.5684
0.3428,2.5732
0.3433,2.5684
0.3439,2.5684
0.3444,2.5732
0.3449,2.5684
0.3454,2.5732
0.3460,2.5684
0.3465,2.5732
0.3470,2.5684
0.3475,2.5684
0.3480,2.5684
0.3486,2.5684
0.3491,2.5732
0.3497,2.5732
0.3502,2.5684
0.3507,2.5635
0.3512,2.5635
0.3518,2.5684
0.3523,2.5684
0.3528,2.5732
0.3533,2.5684
0.3539,2.5684
0.3544,2.5684
0.3549,2.5684
0.3554,2.5684
0.3559,2.5684
0.3565,2.5732
0.3570,2.5684
0.3575,2.5732
0.3580,2.5684
0.3586,2.5684
0.3591,2.5732
0.3596,2.5586
0.3602,2.5684
0.3607,2.5684
0.3612,2.5732
0.3617,2.5684
0.3623,2.5684
0.3628,2.5684
0.3633,2.5586
0.3638,2.5586
0.3644,2.5732
0.3649,2.5684
0.3654,2.5635
0.3659,2.5684
0.3665,2.5635
0.3670,2.5586
0.3675,2.5586
0.3680,2.5684
0.3686,2.5684
0.3691,2.5684
0.3696,2.5684
0.3701,2.5684
0.3707,2.5732
0.3712,2.5684
0.3717,2.5635
0.3722,2.5732
0.3728,2.5684
0.3733,2.5732
0.3738,2.5684
0.3743,2.5684
0.3749,2.5684
0.3754,2.5635
0.3759,2.5635
0.3764,2.5732
0.3770,2.5684
0.3775,2.5684
0.3780,2.5732
0.3785,2.5684
0.3791,2.5684
0.3796,2.5684
0.3801,2.5635
0.3806,2.5586
0.3812,2.5684
0.3817,2.5684
0.3822,2.5684
0.3827,2.5586
0.3832,2.5684
0.3838,2.5684
0.3843,2.5684
0.3848,2.5732
0.3853,2.5635
0.3859,2.5586
0.3864,2.5684
0.3869,2.5684
0.3874,2.5586
0.3880,2.5635
0.3885,2.5635
0.3890,2.5684
0.3895,2.5684
0.3900,2.5586
0.3906,2.5732
0.3911,2.5684
0.3916,2.5684
0.3921,2.5635
0.3927,2.5732
0.3932,2.5684
0.3937,2.5684
0.3942,2.5684
0.3948,2.5684
0.3953,2.5684
0.3958,2.5684
0.3963,2.5635
0.3969,2.5635
0.3974,2.5684
0.3979,2.5684
0.3984,2.5635
0.3990,2.5684
0.3995,2.5684
0.4000,2.5635
0.4005,2.5586
0.4011,2.5635
0.4016,2.5635
0.4021,2.5684
0.4027,2.5732
0.4032,2.5732
0.4037,2.5684
0.4042,2.5635
0.4048,2.5635
0.4053,2.5732
0.4058,2.5684
0.4063,2.5684
0.4069,2.5684
0.4074,2.5684
0.4079,2.5732
0.4084,2.5684
0.4090,2.5586
0.4095,2.5732
0.4100,2.5684
0.4105,2.5732
0.4111,2.5684
0.4116,2.5732
0.4121,2.5684
0.4126,2.5684
0.4132,2.5684
0.4137,2.5684
0.4142,2.5635
0.4147,2.5586
0.4153,2.5684
0.4158,2.5732
0.4163,2.5635
0.4168,2.5684
0.4174,2.5684
0.4179,2.5684
0.4184,2.5684
0.4189,2.5684
0.4195,2.5586
0.4200,2.5684
0.4205,2.5635
0.4210,2.5732
0.4216,2.5684
0.4221,2.5684
0.4226,2.5684
0.4231,2.5732
0.4237,2.5684
0.4242,2.5635
0.4247,2.5635
0.4252,2.5684
0.4258,2.5732
0.4263,2.5635
0.4268,2.5586
0.4273,2.5684
0.4279,2.5684
0.4284,2.5684
0.4289,2.5684
0.4294,2.5684
0.4300,2.5684
0.4305,2.5684
0.4310,2.5586
0.4315,2.5684
0.4321,2.5684
0.4326,2.5732
0.4331,2.5684
0.4336,2.5684
0.4342,2.5684
0.4347,2.5684
0.4352,2.5684
0.4357,2.5635
0.4363,2.5732
0.4368,2.5684
0.4373,2.5684
0.4378,2.5684
0.4384,2.5684
0.4389,2.5635
0.4394,2.5586
0.4399,2.5684
0.4405,2.5635
0.4410,2.5684
0.4415,2.5684
0.4420,2.5684
0.4426,2.5684
0.4431,2.5635
0.4436,2.5586
0.4441,2.5684
0.4447,2.5684
0.4452,2.5684
0.4457,2.5732
0.4462,2.5732
0.4468,2.5684
0.4473,2.5586
0.4478,2.5684
0.4483,2.5684
0.4489,2.5684
0.4494,2.5684
0.4499,2.5684
0.4504,2.5684
0.4510,2.5684
0.4515,2.5684
0.4520,2.5684
0.4525,2.5635
0.4531,2.5684
0.4536,2.5635
0.4541,2.5684
0.4546,2.5684
0.4552,2.5635
0.4557,2.5684
0.4562,2.5684
0.4567,2.5635
0.4573,2.5684
0.4578,2.5684
0.4583,2.5684
0.4588,2.5684
0.4594,2.5635
0.4599,2.5635
0.4604,2.5635
0.4609,2.5635
0.4615,2.5635
0.4620,2.5684
0.4625,2.5635
0.4630,2.5684
0.4636,2.5684
0.4641,2.5684
0.4646,2.5684
0.4651,2.5684
0.4657,2.5635
0.4662,2.5684
0.4667,2.5684
0.4672,2.5684
0.4678,2.5684
0.4683,2.5684
0.4688,2.5684
0.4693,2.5586
0.4699,2.5586
0.4704,2.5684
0.4709,2.5684
0.4714,2.5732
0.4720,2.5732
0.4725,2.5684
0.4730,2.5684
