Время[c], Напряжение[В]
0.3984,2.4902
0.3989,2.4902
0.3995,2.4902
0.4000,2.4902
0.4005,2.4902
0.4010,2.4902
0.4015,2.4902
0.4021,2.4902
0.4026,2.4902
0.4031,2.4902
0.4037,2.4902
0.4042,2.4805
0.4047,2.4902
0.4052,2.4902
0.4058,2.4902
0.4063,2.4854
0.4068,2.4902
0.4073,2.4902
0.4078,2.4902
0.4084,2.4854
0.4089,2.4854
0.4094,2.4756
0.4099,2.4805
0.4105,2.4902
0.4110,2.4902
0.4115,2.4902
0.4120,2.4854
0.4126,2.4902
0.4131,2.4902
0.4136,2.4902
0.4141,2.4902
0.4146,2.4902
0.4152,2.4902
0.4157,2.4902
0.4162,2.4854
0.4167,2.4902
0.4173,2.4902
0.4178,2.4951
0.4183,2.4902
0.4188,2.4902
0.4227,2.4902
0.4233,2.4805
0.4239,2.4854
0.4244,2.4902
0.4250,2.4902
0.4255,2.4805
0.4260,2.4854
0.4265,2.4902
0.4271,2.4951
0.4276,2.4902
0.4281,2.4902
0.4286,2.4902
0.4292,2.4902
0.4297,2.4902
0.4303,2.4902
0.4309,2.4854
0.4314,2.4902
0.4320,2.4805
0.4326,2.4902
0.4331,2.4854
0.4337,2.4902
0.4342,2.4951
0.4348,2.4951
0.4353,2.4854
0.4358,2.4902
0.4364,2.4902
0.4369,2.4902
0.4374,2.4854
0.4379,2.4805
0.4385,2.4902
0.4390,2.4951
0.4395,2.4902
0.4400,2.4902
0.4405,2.4902
0.4411,2.4902
0.4416,2.4902
0.4421,2.4902
0.4427,2.4902
0.4432,2.4902
0.4437,2.4902
0.4442,2.4854
0.4447,2.4805
0.4453,2.4902
0.4458,2.4805
0.4463,2.4902
0.4468,2.4902
0.4474,2.4805
0.4479,2.4805
0.4484,2.4902
0.4489,2.4854
0.4494,2.4951
0.4500,2.4902
0.4505,2.4854
0.4510,2.4902
0.4516,2.4854
0.4521,2.4902
0.4526,2.4902
0.4532,2.4902
0.4537,2.4902
0.4542,2.4902
0.4547,2.4951
0.4553,2.4902
0.4558,2.4805
0.4563,2.4902
0.4568,2.4854
0.4573,2.4902
0.4579,2.4854
0.4584,2.4805
0.4589,2.4854
0.4594,2.4902
0.4600,2.4854
0.4605,2.4902
0.4610,2.4902
0.4615,2.4902
0.4620,2.4854
0.4626,2.4902
0.4631,2.4902
0.4636,2.4902
0.4641,2.4902
0.4647,2.4854
0.4652,2.4902
0.4657,2.4854
0.4662,2.4854
0.4667,2.4805
0.4673,2.4902
0.4678,2.4902
0.4683,2.4854
0.4688,2.4805
0.4694,2.4902
0.4699,2.4902
0.4704,2.4902
0.4709,2.4902
0.4715,2.4902
0.4720,2.4902
0.4725,2.4902
0.4730,2.4854
0.4735,2.4951
0.4741,2.4902
0.4746,2.4902
0.4751,2.4902
0.4756,2.4854
0.4762,2.4902
0.4767,2.4805
0.4772,2.4902
0.4777,2.4854
0.4782,2.4854
0.4788,2.4902
0.4793,2.4902
0.4798,2.4902
0.4803,2.4902
0.4809,2.4902
0.4814,2.4902
0.4819,2.4902
0.4824,2.4854
0.4830,2.4805
0.4835,2.4854
0.4840,2.4902
0.4845,2.4805
0.4850,2.4902
0.4856,2.4854
0.4861,2.4854
0.4866,2.4854
0.4871,2.4805
0.4877,2.4902
0.4882,2.4854
0.4887,2.4902
0.4892,2.4854
0.4897,2.4902
0.4903,2.4902
0.4908,2.4902
0.4913,2.4854
0.4918,2.4902
0.4924,2.4805
0.4929,2.4805
0.4934,2.4854
0.4939,2.4902
0.4945,2.4902
0.4950,2.4854
0.4955,2.4902
0.4960,2.4902
0.4965,2.4902
0.4971,2.4902
0.4976,2.4902
0.4981,2.4902
0.4986,2.4902
0.4992,2.4805
0.4997,2.4854
0.5002,2.4902
0.5007,2.4854
0.5013,2.4902
0.5018,2.4902
0.5023,2.4854
0.5028,2.4854
0.5034,2.4854
0.5039,2.4805
0.5044,2.4902
0.5049,2.4902
0.5055,2.4902
0.5060,2.4854
0.5065,2.4854
0.5070,2.4854
0.5076,2.4902
0.5081,2.4902
0.5086,2.4805
0.5092,2.4902
0.5097,2.4902
0.5102,2.4902
0.5108,2.4902
0.5113,2.4805
0.5118,2.4902
0.5123,2.4951
0.5129,2.4854
0.5134,2.4951
0.5139,2.4902
0.5145,2.4902
0.5150,2.4854
0.5155,2.4902
0.5161,2.4902
0.5166,2.4902
0.5171,2.4902
0.5176,2.4902
0.5182,2.4902
0.5187,2.4854
0.5192,2.4854
0.5198,2.4902
0.5203,2.4854
0.5209,2.4902
0.5214,2.4854
0.5220,2.4951
0.5226,2.4902
0.5231,2.4854
0.5236,2.4902
0.5242,2.4902
0.5247,2.4902
0.5253,2.4805
0.5258,2.4902
0.5264,2.4805
0.5269,2.4902
0.5275,2.4854
0.5280,2.4902
0.5285,2.4805
0.5291,2.4854
0.5296,2.4902
0.5301,2.4805
0.5306,2.4902
0.5312,2.4854
0.5317,2.4902
0.5323,2.4902
